MovieID,Title,Genre,ReleaseYear,Director,Rating,Duration,Country
94,Interstellar (94),Romance,2014,Christopher Nolan,7.1,94,Japan
95,Oppenheimer (95),Drama,2015,Christopher Nolan,9.0,192,Germany
96,Memento (96),Crime,1991,David Fincher,7.0,174,Mexico
97,"Monsters, Inc. (97)",Drama,1975,Christopher Nolan,7.1,174,Japan
98,Pan's Labyrinth (98),Romance,1993,Ridley Scott,7.8,123,France
99,Finding Nemo (99),Sci-Fi,2004,Ridley Scott,9.0,160,UK
100,Inception (100),Sci-Fi,2003,Guillermo del Toro,8.3,174,UK
101,Ratatouille (101),Thriller,2010,Guillermo del Toro,9.0,151,USA
102,Toy Story (102),Romance,2021,Guillermo del Toro,7.9,172,France
103,The Irishman (103),Animation,1982,Bong Joon-ho,6.6,96,UK
104,Se7en (104),Animation,2018,Steven Spielberg,8.5,103,UK
105,The Shawshank Redemption (105),Crime,1978,Ridley Scott,8.5,102,Germany
106,The Social Network (106),Thriller,2010,Guillermo del Toro,8.1,132,Italy
107,The Prestige (107),Crime,2020,Anthony Russo,9.2,173,France
108,Frozen (108),Fantasy,1981,Hayao Miyazaki,6.8,181,USA
109,Cinema Paradiso (109),Sci-Fi,1993,Anthony Russo,6.6,108,Japan
110,Life Is Beautiful (110),Crime,2017,Guillermo del Toro,7.0,161,South Korea
111,Fight Club (111),Sci-Fi,2019,Francis Ford Coppola,8.0,90,Germany
112,Avengers: Endgame (112),Romance,1992,David Fincher,8.0,146,South Korea
113,Kill Bill: Vol. 1 (113),Crime,2017,Pixar Team,9.1,140,Italy
114,Pulp Fiction (114),Crime,1996,Alfonso Cuaron,6.8,131,Germany
115,Ratatouille (115),Action,1977,Christopher Nolan,8.6,135,Italy
116,The Lion King (116),Thriller,2014,Ridley Scott,8.6,161,Germany
117,Roma (117),Animation,2012,Hayao Miyazaki,6.6,106,Germany
118,The Godfather (118),Fantasy,1997,David Fincher,9.0,134,Japan
119,The Hateful Eight (119),Animation,2004,Makoto Shinkai,8.5,134,South Korea
120,Pulp Fiction (120),Drama,2005,Bong Joon-ho,9.4,91,Germany
121,Fight Club (121),Crime,1995,Alfonso Cuaron,8.0,192,South Korea
122,Gladiator (122),Animation,1984,Martin Scorsese,8.6,184,Germany
123,Spirited Away (123),Crime,1974,Martin Scorsese,8.0,138,UK
124,The Godfather (124),Romance,1975,Alfonso Cuaron,6.9,112,South Korea
125,Parasite (125),Drama,1997,Pixar Team,8.4,147,Mexico
126,WALL-E (126),Action,1996,Christopher Nolan,6.8,128,Mexico
127,Coco (127),Animation,1993,Martin Scorsese,6.7,167,Japan
128,Spirited Away (128),Action,1998,Steven Spielberg,8.0,94,South Korea
129,Titanic (129),Animation,2014,Makoto Shinkai,7.0,167,Germany
130,Toy Story (130),Thriller,2004,Guillermo del Toro,9.1,168,Germany
131,Avengers: Endgame (131),Thriller,1991,Hayao Miyazaki,8.6,161,South Korea
132,Avatar (132),Sci-Fi,1982,Francis Ford Coppola,7.9,132,Germany
133,Tenet (133),Fantasy,1999,Guillermo del Toro,9.2,145,France
134,Parasite (134),Crime,1999,Quentin Tarantino,9.2,168,Italy
135,Coco (135),Sci-Fi,1984,Guillermo del Toro,6.7,179,Mexico
136,Fight Club (136),Fantasy,2013,James Cameron,7.3,120,France
137,Gladiator (137),Thriller,2014,Steven Spielberg,8.9,100,Mexico
138,Goodfellas (138),Drama,1993,Francis Ford Coppola,8.6,107,Japan
139,Inside Out (139),Sci-Fi,1978,Guillermo del Toro,7.4,109,Japan
140,Ratatouille (140),Romance,2009,Hayao Miyazaki,8.3,115,France
141,The Godfather (141),Action,2018,Pixar Team,7.4,188,South Korea
142,Memento (142),Fantasy,1971,Bong Joon-ho,7.0,132,Japan
143,The Lion King (143),Action,1976,Hayao Miyazaki,6.6,117,UK
144,Gladiator (144),Fantasy,1997,Bong Joon-ho,6.8,161,USA
145,The Prestige (145),Thriller,2011,Quentin Tarantino,7.7,109,South Korea
146,Life Is Beautiful (146),Romance,1980,Francis Ford Coppola,8.8,164,Italy
147,Gravity (147),Crime,1971,James Cameron,8.0,145,Mexico
148,Roma (148),Sci-Fi,2006,Bong Joon-ho,7.1,128,Germany
149,Fight Club (149),Sci-Fi,2013,James Cameron,8.6,191,South Korea
150,The Matrix (150),Sci-Fi,1984,Francis Ford Coppola,9.2,105,UK
151,Avatar (151),Sci-Fi,2014,Christopher Nolan,8.0,188,Mexico
152,The Shawshank Redemption (152),Thriller,2020,James Cameron,7.8,181,UK
153,The Hateful Eight (153),Romance,2005,Makoto Shinkai,7.3,109,South Korea
154,The Godfather (154),Action,2012,Alfonso Cuaron,9.2,142,France
155,Se7en (155),Drama,1981,Francis Ford Coppola,7.5,99,Mexico
156,The Irishman (156),Romance,1976,Guillermo del Toro,7.9,93,Japan
157,Django Unchained (157),Animation,1978,Francis Ford Coppola,8.9,183,Germany
158,Avatar (158),Drama,2014,Francis Ford Coppola,7.9,134,Italy
159,Spirited Away (159),Thriller,1992,Anthony Russo,8.6,124,UK
160,Oldboy (160),Action,2011,Alfonso Cuaron,7.5,196,Germany
161,WALL-E (161),Crime,1979,Bong Joon-ho,7.2,173,Italy
162,The Godfather Part II (162),Fantasy,2018,Bong Joon-ho,8.9,176,South Korea
163,Gravity (163),Crime,1993,Steven Spielberg,7.0,163,Italy
164,Up (164),Crime,2013,David Fincher,6.5,119,Germany
165,The Shawshank Redemption (165),Thriller,1979,James Cameron,7.5,193,Italy
166,Pan's Labyrinth (166),Action,2011,Francis Ford Coppola,7.5,175,USA
167,The Departed (167),Action,1986,Bong Joon-ho,8.9,113,Germany
168,Gladiator (168),Sci-Fi,1985,Ridley Scott,6.9,172,France
169,Up (169),Fantasy,1973,Steven Spielberg,8.2,123,Italy
170,Your Name (170),Drama,1984,Alfonso Cuaron,8.8,173,France
171,Parasite (171),Animation,1980,Steven Spielberg,7.3,188,Germany
172,The Irishman (172),Fantasy,2009,Christopher Nolan,6.7,108,Germany
173,"Monsters, Inc. (173)",Thriller,1976,Ridley Scott,8.0,199,Italy
174,Your Name (174),Thriller,1984,Christopher Nolan,8.6,98,UK
175,Fight Club (175),Fantasy,2004,David Fincher,8.0,171,South Korea
176,The Lion King (176),Crime,2021,David Fincher,8.4,156,South Korea
177,The Godfather (177),Action,2012,David Fincher,8.1,114,France
178,The Hateful Eight (178),Fantasy,1988,Bong Joon-ho,8.1,140,Italy
179,Your Name (179),Thriller,1979,Quentin Tarantino,9.3,171,South Korea
180,Toy Story (180),Drama,2009,Francis Ford Coppola,9.1,181,USA
181,Toy Story (181),Action,2011,James Cameron,7.7,182,Italy
182,Oppenheimer (182),Drama,1980,David Fincher,7.1,188,France
183,Oppenheimer (183),Crime,1985,Francis Ford Coppola,8.3,129,South Korea
184,Heat (184),Animation,1988,Anthony Russo,7.9,179,France
185,Tenet (185),Fantasy,1993,Ridley Scott,8.3,110,Germany
186,Se7en (186),Drama,2011,Bong Joon-ho,6.9,145,USA
187,Amelie (187),Animation,1995,David Fincher,8.0,117,South Korea
188,Frozen (188),Action,1983,David Fincher,7.2,168,Japan
189,Django Unchained (189),Thriller,1997,Bong Joon-ho,9.3,155,Mexico
190,Coco (190),Thriller,1970,Quentin Tarantino,8.7,171,South Korea
191,Amelie (191),Sci-Fi,1985,Christopher Nolan,9.1,133,Italy
192,The Godfather Part II (192),Crime,1995,Ridley Scott,9.4,98,France
193,Oppenheimer (193),Crime,2014,Bong Joon-ho,9.0,144,Japan
194,The Lion King (194),Thriller,1992,Ridley Scott,8.7,164,USA
195,Gladiator (195),Crime,2010,Martin Scorsese,8.8,190,UK
196,The Dark Knight (196),Fantasy,1971,James Cameron,9.3,97,Mexico
197,Kill Bill: Vol. 1 (197),Sci-Fi,2015,Quentin Tarantino,6.9,172,South Korea
198,Django Unchained (198),Thriller,1982,Guillermo del Toro,7.2,92,USA
199,Kill Bill: Vol. 1 (199),Thriller,2000,Martin Scorsese,8.2,178,Japan
200,Gravity (200),Fantasy,2017,Francis Ford Coppola,8.2,175,South Korea
201,Spirited Away (201),Crime,1976,Francis Ford Coppola,6.7,185,Italy
202,Amelie (202),Drama,1979,Anthony Russo,7.9,158,South Korea
203,Goodfellas (203),Sci-Fi,1985,Hayao Miyazaki,7.2,100,France
204,Memento (204),Romance,1976,Hayao Miyazaki,7.2,177,France
205,Toy Story (205),Animation,1977,Hayao Miyazaki,8.0,129,USA
206,Kill Bill: Vol. 1 (206),Romance,1975,Guillermo del Toro,8.5,156,Mexico
207,The Departed (207),Animation,1991,Anthony Russo,7.9,169,South Korea
208,Goodfellas (208),Crime,2001,Christopher Nolan,6.7,188,USA
209,Oldboy (209),Drama,2000,Steven Spielberg,7.1,197,USA
210,Goodfellas (210),Thriller,1992,Alfonso Cuaron,9.2,106,Japan
211,Memento (211),Romance,1986,Quentin Tarantino,9.3,200,Germany
212,The Dark Knight (212),Drama,1987,Pixar Team,8.0,123,Mexico
213,Amelie (213),Fantasy,1991,Quentin Tarantino,6.9,175,Japan
214,Memento (214),Romance,2004,Alfonso Cuaron,8.2,131,Germany
215,Tenet (215),Romance,1980,Hayao Miyazaki,8.8,190,Germany
216,The Lion King (216),Drama,1975,Francis Ford Coppola,9.1,121,Germany
217,Up (217),Thriller,2014,Steven Spielberg,7.4,158,France
218,Amelie (218),Action,2016,Ridley Scott,6.8,177,Japan
219,Your Name (219),Fantasy,1997,Bong Joon-ho,9.4,149,UK
220,The Hateful Eight (220),Sci-Fi,2021,Hayao Miyazaki,6.8,168,France
221,Frozen (221),Sci-Fi,1990,Anthony Russo,8.6,127,UK
222,The Departed (222),Action,2003,Steven Spielberg,7.6,188,USA
223,Django Unchained (223),Thriller,1988,Francis Ford Coppola,8.5,117,Germany
224,Kill Bill: Vol. 1 (224),Thriller,1983,Pixar Team,8.5,155,France
225,Your Name (225),Animation,1981,Makoto Shinkai,6.7,135,South Korea
226,Finding Nemo (226),Fantasy,2018,Bong Joon-ho,6.5,154,USA
227,Pan's Labyrinth (227),Thriller,1998,Steven Spielberg,7.0,127,France
228,Avatar (228),Action,2016,Anthony Russo,7.2,146,South Korea
229,Inception (229),Action,1993,Makoto Shinkai,9.0,108,Mexico
230,Gravity (230),Drama,1982,Guillermo del Toro,7.9,111,USA
231,Goodfellas (231),Sci-Fi,1977,Bong Joon-ho,7.0,190,USA
232,Pulp Fiction (232),Drama,1985,Francis Ford Coppola,9.3,175,Italy
233,Gladiator (233),Crime,2001,Quentin Tarantino,6.6,178,France
234,The Godfather Part II (234),Crime,2008,David Fincher,7.5,154,USA
235,The Irishman (235),Sci-Fi,1981,Hayao Miyazaki,9.2,190,Japan
236,Se7en (236),Action,1995,Pixar Team,6.9,168,Germany
237,The Irishman (237),Fantasy,2016,Makoto Shinkai,9.0,192,UK
238,The Shawshank Redemption (238),Fantasy,2014,Martin Scorsese,9.1,116,Italy
239,Amelie (239),Action,1983,Makoto Shinkai,8.0,174,Mexico
240,Interstellar (240),Fantasy,1999,Hayao Miyazaki,7.1,138,UK
241,Casino (241),Crime,1992,Quentin Tarantino,8.5,115,USA
242,The Shawshank Redemption (242),Thriller,1981,Makoto Shinkai,7.7,186,Japan
243,Heat (243),Drama,1970,Makoto Shinkai,8.2,145,UK
244,Inception (244),Animation,2012,Steven Spielberg,7.7,194,Italy
245,Casino (245),Romance,1999,Guillermo del Toro,9.4,139,Japan
246,Gravity (246),Sci-Fi,1975,Anthony Russo,7.8,101,Italy
247,The Godfather Part II (247),Action,2014,Pixar Team,9.0,142,Japan
248,The Prestige (248),Drama,1984,Makoto Shinkai,8.5,165,France
249,Casino (249),Sci-Fi,1989,Ridley Scott,7.0,151,USA
250,Avatar (250),Romance,1988,Steven Spielberg,6.6,98,USA
251,Inside Out (251),Drama,1986,Anthony Russo,6.7,117,USA
252,The Irishman (252),Fantasy,2003,Christopher Nolan,6.9,123,Italy
253,The Irishman (253),Crime,1987,James Cameron,7.0,114,South Korea
254,Casino (254),Fantasy,1996,Hayao Miyazaki,6.6,124,Mexico
255,Memento (255),Fantasy,1973,Martin Scorsese,7.4,181,USA
256,The Godfather (256),Fantasy,1978,Anthony Russo,8.4,178,Italy
257,Toy Story (257),Animation,2005,Martin Scorsese,9.1,183,USA
258,Spirited Away (258),Sci-Fi,1990,Makoto Shinkai,7.1,179,Italy
259,Amelie (259),Thriller,2000,Makoto Shinkai,8.6,186,South Korea
260,The Lion King (260),Fantasy,2018,James Cameron,7.5,184,Mexico
261,Cinema Paradiso (261),Animation,2018,Francis Ford Coppola,8.0,97,UK
262,Coco (262),Sci-Fi,2004,Pixar Team,7.4,153,UK
263,The Hateful Eight (263),Romance,1977,Quentin Tarantino,7.0,153,Italy
264,Avengers: Endgame (264),Animation,2015,Quentin Tarantino,8.4,175,South Korea
265,Inside Out (265),Drama,1997,Quentin Tarantino,9.4,175,Mexico
266,Pulp Fiction (266),Fantasy,2014,Bong Joon-ho,8.0,120,USA
267,The Godfather Part II (267),Sci-Fi,1981,Christopher Nolan,8.4,90,Japan
268,Spirited Away (268),Thriller,1991,Christopher Nolan,8.1,195,South Korea
269,The Silence of the Lambs (269),Crime,1992,Bong Joon-ho,7.5,107,Mexico
270,The Departed (270),Drama,2022,Makoto Shinkai,8.3,98,UK
271,The Dark Knight (271),Drama,1992,Bong Joon-ho,8.5,186,Germany
272,The Social Network (272),Crime,1999,Christopher Nolan,6.7,98,Japan
273,The Dark Knight (273),Crime,2019,Pixar Team,9.2,116,UK
274,Titanic (274),Action,1995,Francis Ford Coppola,8.8,148,Germany
275,Avatar (275),Drama,1978,Steven Spielberg,8.0,120,UK
276,The Prestige (276),Crime,1992,Ridley Scott,7.1,131,Italy
277,Your Name (277),Animation,1976,David Fincher,6.7,188,Mexico
278,Gravity (278),Drama,1999,Ridley Scott,7.3,137,Italy
279,Roma (279),Fantasy,2022,James Cameron,9.3,160,Italy
280,The Dark Knight (280),Sci-Fi,1996,Steven Spielberg,8.7,138,Germany
281,The Social Network (281),Romance,1989,Guillermo del Toro,8.8,194,Germany
282,The Shawshank Redemption (282),Fantasy,1991,David Fincher,7.6,125,Italy
283,The Departed (283),Thriller,2019,Quentin Tarantino,9.3,180,Italy
284,Casino (284),Crime,2016,Christopher Nolan,7.9,113,Germany
285,Frozen (285),Action,1970,Francis Ford Coppola,6.6,101,Mexico
286,The Social Network (286),Sci-Fi,1990,Bong Joon-ho,9.2,171,Japan
287,Amelie (287),Drama,2017,Anthony Russo,7.0,162,UK
288,Toy Story (288),Animation,2003,Anthony Russo,7.1,168,Mexico
289,Se7en (289),Romance,1983,Ridley Scott,6.8,198,France
290,Your Name (290),Crime,1987,James Cameron,9.0,176,USA
291,Oldboy (291),Drama,1984,James Cameron,7.9,192,USA
292,The Shawshank Redemption (292),Sci-Fi,1994,David Fincher,9.3,169,UK
293,The Lion King (293),Crime,1977,Makoto Shinkai,6.7,177,South Korea
294,Gladiator (294),Animation,2012,Anthony Russo,8.2,182,Italy
295,Inside Out (295),Animation,1996,James Cameron,7.9,156,UK
296,The Dark Knight (296),Crime,1988,Christopher Nolan,7.1,192,France
297,Finding Nemo (297),Sci-Fi,1991,Martin Scorsese,7.6,189,Japan
298,The Matrix (298),Animation,1989,Hayao Miyazaki,9.4,142,Germany
299,The Social Network (299),Romance,2022,Pixar Team,8.2,197,Italy
300,Django Unchained (300),Animation,2018,Anthony Russo,8.7,120,USA
301,Gravity (301),Animation,2013,Christopher Nolan,7.0,193,Germany
302,Interstellar (302),Sci-Fi,2011,Christopher Nolan,6.7,106,South Korea
303,The Shawshank Redemption (303),Fantasy,1980,Quentin Tarantino,8.9,185,South Korea
304,The Irishman (304),Action,1970,James Cameron,9.4,192,Japan
305,The Matrix (305),Drama,1995,David Fincher,8.3,168,South Korea
306,Se7en (306),Sci-Fi,2023,Christopher Nolan,9.2,150,Italy
307,The Departed (307),Drama,2012,James Cameron,8.8,196,Mexico
308,Toy Story (308),Animation,2009,Christopher Nolan,6.7,92,France
309,Casino (309),Fantasy,1987,Christopher Nolan,9.2,178,Italy
310,Life Is Beautiful (310),Crime,2016,Christopher Nolan,7.4,120,Germany
311,Django Unchained (311),Animation,1978,Christopher Nolan,7.7,92,Japan
312,WALL-E (312),Action,2000,Alfonso Cuaron,8.5,171,Japan
313,Finding Nemo (313),Crime,2007,Anthony Russo,8.5,180,Germany
314,The Irishman (314),Animation,2020,Martin Scorsese,7.6,168,France
315,The Social Network (315),Animation,2004,Martin Scorsese,8.1,187,Mexico
316,Children of Men (316),Thriller,2018,James Cameron,7.0,169,USA
317,Gravity (317),Sci-Fi,2013,Pixar Team,7.5,102,Germany
318,Pan's Labyrinth (318),Romance,1975,Makoto Shinkai,7.5,163,UK
319,Django Unchained (319),Sci-Fi,2018,Ridley Scott,7.3,135,USA
320,The Silence of the Lambs (320),Romance,1974,Ridley Scott,8.8,135,Japan
321,Finding Nemo (321),Action,1972,Alfonso Cuaron,9.2,143,UK
322,The Social Network (322),Romance,1980,David Fincher,6.9,116,France
323,The Silence of the Lambs (323),Drama,2014,Martin Scorsese,8.8,90,Germany
324,Memento (324),Animation,2001,David Fincher,6.8,147,South Korea
325,Oppenheimer (325),Animation,1985,Martin Scorsese,6.7,127,Mexico
326,Finding Nemo (326),Thriller,1986,David Fincher,7.0,137,France
327,The Hateful Eight (327),Romance,1984,Martin Scorsese,6.8,151,UK
328,Avatar (328),Sci-Fi,1973,James Cameron,7.7,152,UK
329,Oppenheimer (329),Thriller,2000,Steven Spielberg,6.7,114,France
330,Inside Out (330),Crime,1974,Ridley Scott,7.1,187,Germany
331,Se7en (331),Fantasy,1984,Steven Spielberg,9.0,188,Italy
332,"Monsters, Inc. (332)",Fantasy,1974,Alfonso Cuaron,7.7,127,South Korea
333,Your Name (333),Fantasy,2011,Ridley Scott,7.9,153,France
334,Inception (334),Fantasy,2003,James Cameron,8.0,152,UK
335,Frozen (335),Crime,1974,James Cameron,7.3,96,USA
336,Life Is Beautiful (336),Drama,1989,Hayao Miyazaki,7.1,198,UK
337,Avengers: Endgame (337),Action,2015,Guillermo del Toro,9.2,116,Germany
338,Tenet (338),Drama,1999,Martin Scorsese,9.1,194,UK
339,Toy Story (339),Fantasy,1981,Quentin Tarantino,6.7,182,USA
340,Gravity (340),Animation,2017,Bong Joon-ho,8.7,124,UK
341,The Godfather (341),Animation,1974,Makoto Shinkai,8.0,196,UK
342,Oldboy (342),Thriller,2012,James Cameron,7.5,185,Mexico
343,Ratatouille (343),Crime,1982,Guillermo del Toro,6.7,104,South Korea
344,Memento (344),Thriller,1988,Quentin Tarantino,6.9,200,USA
345,"Monsters, Inc. (345)",Crime,2014,Guillermo del Toro,7.8,109,Mexico
346,Titanic (346),Animation,1995,James Cameron,7.5,116,Germany
347,Gladiator (347),Fantasy,2018,Makoto Shinkai,7.7,130,Italy
348,Pulp Fiction (348),Crime,1993,David Fincher,9.1,124,France
349,Up (349),Sci-Fi,1985,Quentin Tarantino,9.1,95,Japan
350,The Irishman (350),Thriller,1980,Francis Ford Coppola,7.5,119,Germany
351,Frozen (351),Romance,2001,Makoto Shinkai,7.2,189,Germany
352,Frozen (352),Fantasy,2021,James Cameron,8.8,190,UK
353,The Hateful Eight (353),Drama,2012,James Cameron,9.1,157,South Korea
354,Pulp Fiction (354),Sci-Fi,1984,Hayao Miyazaki,8.7,99,Germany
355,Inception (355),Fantasy,2016,David Fincher,7.5,107,France
356,The Irishman (356),Action,2015,Martin Scorsese,7.6,131,USA
357,Finding Nemo (357),Romance,2010,Makoto Shinkai,7.6,153,USA
358,Casino (358),Romance,2009,Alfonso Cuaron,6.9,122,UK
359,Spirited Away (359),Crime,2000,Alfonso Cuaron,9.4,157,Italy
360,The Matrix (360),Thriller,2006,Pixar Team,7.2,181,Germany
361,The Prestige (361),Action,2007,David Fincher,6.5,177,South Korea
362,Heat (362),Crime,1999,Martin Scorsese,6.6,146,UK
363,Amelie (363),Romance,1978,Ridley Scott,8.6,160,Italy
364,Finding Nemo (364),Thriller,1996,Guillermo del Toro,8.5,108,South Korea
365,The Hateful Eight (365),Drama,2022,Christopher Nolan,7.5,98,USA
366,The Silence of the Lambs (366),Romance,2008,Christopher Nolan,8.7,169,UK
367,Oppenheimer (367),Sci-Fi,2012,David Fincher,7.7,110,Mexico
368,The Hateful Eight (368),Sci-Fi,2004,Martin Scorsese,6.7,181,France
369,Inception (369),Sci-Fi,1993,Pixar Team,6.5,144,South Korea
370,Titanic (370),Sci-Fi,1974,Pixar Team,7.7,117,Japan
371,The Godfather Part II (371),Crime,2016,Guillermo del Toro,8.2,94,Italy
372,Pan's Labyrinth (372),Action,1997,Quentin Tarantino,9.4,152,USA
373,The Shawshank Redemption (373),Crime,2016,David Fincher,8.2,102,France
374,WALL-E (374),Romance,2019,Pixar Team,7.0,165,France
375,The Lion King (375),Romance,2012,Bong Joon-ho,8.9,123,South Korea
