snapshot_id,book_id,year,market,channel,units_sold_thousands
74,22,2001,US,Retail,78
75,25,2011,UK,Online,43
76,78,1978,UK,Retail,32
77,75,2024,LATAM,Retail,30
78,90,1996,US,Retail,18
79,76,1977,APAC,Online,25
80,4,2007,US,Online,123
81,9,1952,APAC,Online,79
82,76,2000,APAC,Retail,45
83,48,1998,APAC,Online,68
84,70,2003,UK,Retail,16
85,43,1956,EU,Retail,83
86,43,1961,LATAM,Retail,60
87,1,2003,US,Online,94
88,24,2020,UK,Online,82
89,77,2010,US,Online,28
90,75,2022,EU,Online,31
91,3,1966,APAC,Retail,103
92,93,2014,US,Online,20
93,82,2009,APAC,Retail,58
94,5,2007,LATAM,Online,89
95,86,2010,US,Online,25
96,38,2003,LATAM,Online,46
97,11,2008,UK,Online,97
98,87,1980,US,Retail,26
99,77,1978,US,Online,17
100,20,1997,EU,Online,74
101,86,1967,US,Retail,16
102,93,2018,UK,Online,34
103,6,1950,UK,Retail,97
104,55,1976,LATAM,Retail,34
105,62,1990,US,Retail,83
106,62,1959,APAC,Online,69
107,81,2003,LATAM,Online,49
108,43,2012,LATAM,Online,35
109,56,2017,EU,Retail,47
110,11,2016,US,Retail,78
111,70,2002,EU,Retail,29
112,55,1982,EU,Retail,23
113,60,1970,APAC,Retail,42
114,13,2006,LATAM,Online,158
115,88,2018,EU,Online,56
116,13,2008,UK,Retail,66
117,37,2001,APAC,Online,65
118,61,1961,US,Retail,11
119,78,2015,US,Online,35
120,31,2018,US,Retail,41
121,30,2020,US,Retail,80
122,15,2005,APAC,Online,133
123,8,2022,APAC,Retail,108
124,53,1989,APAC,Online,61
125,1,1970,APAC,Online,193
126,89,2018,APAC,Retail,17
127,51,2006,LATAM,Online,37
128,13,2009,LATAM,Online,69
129,88,2015,US,Retail,70
130,45,2022,UK,Online,51
131,52,2003,LATAM,Retail,46
132,97,2023,UK,Online,36
133,40,2009,EU,Online,41
134,10,1952,EU,Retail,153
135,49,2017,APAC,Online,47
136,19,1972,US,Online,45
137,8,1965,US,Online,124
138,5,2018,US,Online,61
139,92,1997,EU,Online,37
140,79,1997,EU,Retail,22
141,88,1996,LATAM,Retail,71
142,60,2015,US,Online,50
143,3,1974,LATAM,Online,50
144,97,2000,LATAM,Online,29
145,62,2023,US,Retail,75
146,82,2009,US,Online,53
147,78,1972,APAC,Retail,20
148,40,2011,LATAM,Retail,26
149,49,2001,UK,Online,18
150,43,1990,LATAM,Online,52
151,14,2001,EU,Online,75
152,13,2003,US,Retail,48
153,98,1992,LATAM,Retail,34
154,82,1984,APAC,Retail,41
155,46,2016,UK,Retail,50
156,27,2020,APAC,Retail,21
157,36,1989,US,Retail,18
158,94,2017,APAC,Online,17
159,48,1982,APAC,Retail,24
160,46,2023,UK,Online,45
161,64,1957,APAC,Online,93
162,31,1996,EU,Online,83
163,46,2019,LATAM,Retail,53
164,8,1981,LATAM,Retail,118
165,22,1990,LATAM,Retail,68
166,70,2009,US,Online,10
167,36,2002,US,Retail,45
168,3,1998,UK,Online,87
169,84,1971,LATAM,Retail,84
170,11,2008,EU,Online,46
171,84,1977,LATAM,Retail,44
172,84,2004,APAC,Retail,46
173,79,2012,APAC,Retail,19
174,32,2024,LATAM,Online,62
175,98,1983,LATAM,Online,46
176,57,1976,US,Online,29
177,55,1999,APAC,Retail,29
178,19,2018,APAC,Online,83
179,9,2013,LATAM,Online,152
180,58,1978,UK,Online,88
181,90,1981,UK,Online,26
182,33,2018,LATAM,Retail,36
183,45,2022,UK,Online,31
184,94,2010,LATAM,Retail,18
185,10,1998,LATAM,Retail,103
186,94,2012,APAC,Online,22
187,64,2023,UK,Online,88
188,69,2011,LATAM,Retail,22
189,72,2024,UK,Online,12
190,87,2021,UK,Retail,69
191,75,2024,EU,Retail,20
192,81,2006,US,Online,61
193,70,2023,US,Retail,33
194,59,2008,LATAM,Online,51
195,20,1964,EU,Online,55
196,92,1988,EU,Retail,47
197,58,2007,UK,Online,50
198,48,2023,LATAM,Online,45
199,23,2017,US,Retail,91
200,52,2016,UK,Retail,35
201,5,2014,US,Retail,155
202,51,2007,LATAM,Online,22
203,83,2018,EU,Retail,18
204,14,2020,APAC,Online,98
205,37,2009,US,Online,30
206,51,1980,EU,Online,32
207,44,1957,US,Retail,43
208,16,2024,UK,Retail,101
209,17,2018,UK,Online,119
210,29,2022,US,Online,59
211,65,1982,EU,Retail,106
212,2,2012,LATAM,Retail,51
213,56,1975,LATAM,Online,30
214,13,2011,LATAM,Online,42
215,42,2013,US,Retail,2
216,53,1960,UK,Retail,32
217,60,1968,UK,Online,47
218,31,1998,APAC,Retail,43
219,39,2021,APAC,Online,37
220,45,2023,US,Online,44
221,51,2013,UK,Online,40
222,27,2023,EU,Retail,63
223,25,2015,APAC,Retail,59
224,60,2000,APAC,Online,55
225,59,1977,APAC,Online,30
226,29,2020,US,Online,54
227,95,1952,UK,Online,7
228,95,2021,EU,Online,21
229,80,1993,UK,Retail,15
230,59,1990,US,Online,33
231,83,2017,UK,Retail,12
232,66,2019,UK,Retail,55
233,29,2023,LATAM,Online,49
234,42,1989,UK,Online,18
235,32,1983,EU,Retail,69
236,92,2002,US,Retail,39
237,42,2014,LATAM,Online,23
238,60,2011,UK,Retail,42
239,25,2022,UK,Retail,40
240,38,1982,UK,Retail,14
241,4,1960,US,Online,129
242,61,1985,LATAM,Online,25
243,89,2012,US,Retail,22
244,36,2018,APAC,Online,62
245,62,1999,LATAM,Online,51
246,45,2023,UK,Online,63
247,91,1993,EU,Retail,26
248,4,1983,APAC,Retail,103
249,10,1966,US,Retail,143
250,76,1990,APAC,Online,13
251,39,2014,UK,Retail,37
252,69,2015,APAC,Online,4
253,66,1997,APAC,Retail,41
254,49,2004,UK,Online,35
255,83,2014,APAC,Online,16
256,82,1991,APAC,Retail,33
257,25,2012,US,Online,79
258,44,1953,US,Online,58
259,100,2009,APAC,Retail,36
260,95,2009,EU,Online,10
261,72,2001,US,Retail,28
262,14,2009,EU,Online,110
263,95,2017,APAC,Online,23
264,50,2001,UK,Retail,39
265,46,2014,UK,Online,45
266,92,2023,EU,Online,43
267,58,2011,EU,Retail,75
268,44,1987,APAC,Online,28
269,52,1999,UK,Retail,54
270,42,2020,APAC,Online,23
271,72,2018,LATAM,Online,29
272,9,1998,UK,Retail,152
273,33,2018,US,Retail,30
274,59,2019,LATAM,Online,44
275,70,2015,UK,Online,31
276,21,1980,US,Online,76
277,89,1994,UK,Online,29
278,46,2016,US,Retail,42
279,76,2008,APAC,Retail,17
280,62,2005,US,Retail,113
281,95,1978,APAC,Online,12
282,59,1985,LATAM,Online,50
283,8,1980,EU,Online,62
284,95,1975,LATAM,Retail,21
285,25,2024,APAC,Retail,43
286,100,2015,UK,Retail,50
287,65,1969,US,Online,162
288,80,2008,APAC,Retail,34
289,64,1972,UK,Retail,116
290,58,1989,APAC,Online,47
291,25,2012,APAC,Online,79
292,37,1998,US,Retail,23
293,19,1960,US,Retail,48
294,20,2003,UK,Retail,76
295,44,1967,EU,Retail,68
296,83,2022,UK,Online,20
297,60,2013,EU,Retail,63
298,63,2002,US,Online,108
299,78,2017,US,Retail,39
300,15,2000,US,Online,133
301,18,2009,EU,Retail,98
302,71,2024,APAC,Retail,21
303,54,1983,US,Online,43
304,56,1993,UK,Online,48
305,69,2007,UK,Online,19
306,60,1977,US,Retail,27
307,21,2016,UK,Online,67
308,29,2018,APAC,Retail,36
309,21,1969,UK,Online,51
310,12,2005,US,Retail,128
311,88,2004,US,Retail,52
312,15,2014,UK,Retail,89
313,14,2018,LATAM,Retail,102
314,85,2021,UK,Retail,18
315,35,2008,US,Retail,46
316,63,1985,APAC,Online,91
317,43,2004,LATAM,Online,77
318,76,1988,US,Online,24
319,39,2004,APAC,Retail,33
320,7,1971,UK,Online,79
321,70,2013,LATAM,Retail,31
322,44,1977,APAC,Retail,76
323,71,2011,US,Retail,13
324,3,2021,US,Online,102
325,47,2008,UK,Retail,39
326,73,2016,UK,Retail,33
327,91,2006,LATAM,Online,45
328,26,2013,LATAM,Retail,82
329,41,2004,UK,Retail,76
330,78,2009,UK,Online,57
331,24,2022,APAC,Retail,61
332,9,2018,LATAM,Retail,107
333,64,1959,UK,Online,78
334,83,2016,APAC,Retail,5
335,55,1990,UK,Retail,55
336,79,1988,EU,Retail,26
337,96,2014,APAC,Online,13
338,21,1976,APAC,Online,63
339,86,1957,APAC,Retail,8
340,82,2011,EU,Online,35
341,77,1999,EU,Online,27
342,66,1980,LATAM,Retail,19
343,99,2009,APAC,Online,17
344,41,2002,US,Online,86
345,55,1996,US,Retail,21
346,89,1963,US,Online,17
347,17,2010,LATAM,Online,85
348,78,2009,UK,Online,43
349,3,2002,LATAM,Retail,132
350,48,1967,EU,Online,45
351,42,1992,UK,Retail,8
352,7,1961,APAC,Retail,108
353,41,2020,UK,Retail,84
354,97,2003,UK,Retail,34
355,81,2017,US,Online,38
356,21,2022,APAC,Online,53
357,47,1987,LATAM,Retail,40
358,50,1982,EU,Retail,51
359,11,2020,US,Retail,113
360,9,2009,UK,Online,86
361,88,2001,APAC,Online,40
362,59,1990,LATAM,Online,57
363,61,2019,UK,Retail,23
364,75,2024,US,Retail,33
365,29,2014,US,Online,79
366,23,2012,LATAM,Online,47
367,81,1996,EU,Retail,30
368,43,2001,UK,Online,63
369,97,2016,UK,Online,53
370,28,2022,EU,Online,83
371,71,2021,LATAM,Retail,29
372,16,2008,EU,Online,66
373,59,1960,UK,Online,65
374,100,2013,EU,Online,82
375,22,1979,UK,Retail,49
376,9,1992,US,Online,36
377,54,1983,LATAM,Retail,37
378,66,1986,UK,Online,33
379,84,2003,LATAM,Retail,76
380,47,1970,LATAM,Retail,27
381,99,2003,APAC,Online,32
382,38,2023,UK,Retail,42
383,4,1952,US,Online,62
384,39,2005,UK,Online,62
385,81,2012,US,Online,36
386,19,2005,LATAM,Online,53
387,39,1991,LATAM,Online,34
388,78,2022,UK,Online,17
389,47,1975,EU,Online,24
390,35,2021,UK,Retail,48
391,32,2021,UK,Online,56
392,85,2008,APAC,Online,30
393,18,2007,UK,Retail,79
394,67,2017,APAC,Retail,23
395,85,1974,EU,Retail,24
396,25,2012,EU,Retail,78
397,27,2016,US,Retail,53
398,20,1983,EU,Retail,75
399,14,2014,LATAM,Retail,117
400,55,2011,EU,Online,46
401,74,1980,APAC,Retail,37
402,47,1994,APAC,Retail,46
403,59,1952,US,Retail,17
404,70,1996,APAC,Retail,30
405,76,1958,EU,Retail,20
406,94,2020,LATAM,Retail,23
407,62,2017,APAC,Retail,144
408,43,2020,EU,Retail,71
409,58,2012,UK,Online,112
410,74,2008,US,Online,43
411,53,2019,EU,Online,42
412,15,2007,UK,Online,67
413,97,1999,APAC,Online,68
414,56,1957,APAC,Online,40
415,78,2002,LATAM,Retail,44
416,72,2023,US,Online,24
417,98,1981,EU,Online,34
418,48,1980,US,Retail,35
419,40,2010,APAC,Online,11
420,20,1998,LATAM,Retail,55
421,47,2012,EU,Online,35
422,61,1997,LATAM,Online,24
423,34,2011,APAC,Online,46
424,53,1981,LATAM,Retail,24
425,35,2022,LATAM,Retail,42
426,10,1959,LATAM,Retail,142
427,16,2018,APAC,Online,141
428,19,2024,UK,Retail,56
429,96,1992,UK,Retail,22
430,77,1973,EU,Retail,33
431,3,1993,LATAM,Online,99
432,59,2005,APAC,Retail,25
433,70,2023,US,Online,21
434,83,2022,LATAM,Online,21
435,39,1995,LATAM,Online,36
436,98,1983,LATAM,Online,40
437,9,1999,LATAM,Retail,156
438,5,2022,APAC,Online,125
439,60,1955,UK,Online,44
440,10,1990,LATAM,Retail,127
441,24,2017,APAC,Online,52
442,51,2005,EU,Online,27
443,45,2021,APAC,Retail,22
444,22,2007,APAC,Retail,84
445,24,2021,EU,Online,56
446,25,2009,UK,Online,34
447,38,2005,EU,Online,41
448,5,2013,LATAM,Retail,125
449,45,2020,APAC,Retail,47
450,52,1988,UK,Online,26
451,28,2016,LATAM,Retail,97
452,25,2020,LATAM,Retail,64
453,82,1978,LATAM,Online,45
454,50,2004,LATAM,Online,22
455,86,1985,LATAM,Retail,17
456,43,1984,LATAM,Online,69
457,24,2014,US,Online,58
458,24,2009,UK,Retail,14
459,90,2004,US,Online,25
460,8,1999,EU,Online,77
461,30,2009,US,Retail,39
462,37,2023,LATAM,Retail,56
463,60,2022,UK,Online,46
464,42,2020,APAC,Online,20
465,64,1969,UK,Retail,115
466,73,2020,LATAM,Retail,21
467,56,2000,EU,Retail,48
468,69,2006,EU,Retail,13
469,12,2021,US,Retail,60
470,57,1988,APAC,Retail,34
471,98,2016,LATAM,Online,23
472,34,2010,US,Retail,31
473,17,2016,APAC,Online,130
474,52,1990,LATAM,Retail,55
475,46,2014,UK,Online,35
476,49,1989,APAC,Retail,43
477,39,2005,EU,Retail,42
478,2,1968,UK,Retail,116
479,6,1959,APAC,Online,102
480,10,1998,US,Retail,103
481,83,2016,LATAM,Online,15
482,44,1950,APAC,Online,57
483,51,1991,US,Online,61
484,62,1964,US,Retail,141
485,70,1998,US,Retail,21
486,48,1975,US,Online,31
487,12,2006,LATAM,Online,106
488,84,1999,APAC,Retail,53
489,42,2009,US,Retail,31
490,13,1998,UK,Retail,141
491,33,2017,UK,Retail,41
492,19,1977,EU,Retail,71
493,90,1992,LATAM,Retail,21
494,91,1991,APAC,Retail,50
495,4,1995,UK,Online,107
496,14,2016,UK,Retail,108
497,37,1979,LATAM,Online,31
498,3,1986,US,Online,76
499,25,2010,EU,Retail,85
500,15,2020,LATAM,Online,100
501,58,1975,LATAM,Online,37
502,50,2010,UK,Retail,26
503,18,2015,US,Online,132
504,30,2019,UK,Retail,63
505,50,2020,UK,Online,46
506,80,1975,EU,Retail,40
507,33,2021,EU,Online,32
508,20,1987,US,Online,65
509,70,2019,APAC,Retail,21
510,18,2011,LATAM,Retail,71
511,99,2023,LATAM,Retail,60
512,35,2022,US,Retail,21
513,35,2023,US,Online,40
514,40,2022,UK,Online,20
515,2,1978,APAC,Online,89
516,23,2023,EU,Online,58
517,22,2008,LATAM,Retail,67
518,57,2020,EU,Online,59
519,89,1994,APAC,Retail,19
520,4,1958,APAC,Online,139
521,98,1996,APAC,Online,31
522,90,2012,UK,Online,21
523,83,2020,LATAM,Online,5
524,7,1956,UK,Retail,101
525,95,1985,EU,Retail,18
526,73,2001,APAC,Online,50
527,85,1974,UK,Retail,17
528,48,1979,US,Online,42
529,23,2010,US,Retail,22
530,13,2023,US,Online,85
531,82,2015,UK,Online,43
532,42,2009,LATAM,Retail,18
533,78,2017,US,Retail,49
534,38,1994,US,Retail,32
535,27,2012,LATAM,Online,61
536,95,1962,LATAM,Online,22
537,88,2007,LATAM,Online,35
538,95,1970,UK,Online,17
539,11,2024,UK,Online,74
540,38,1975,EU,Retail,48
541,52,1999,US,Retail,43
542,39,2018,APAC,Online,23
543,66,1992,LATAM,Retail,34
544,4,1955,EU,Online,108
545,1,2002,EU,Retail,97
546,64,1973,UK,Retail,91
547,97,2023,LATAM,Retail,74
548,97,2004,APAC,Retail,64
549,31,2024,US,Retail,76
550,51,2005,US,Online,36
551,16,2013,UK,Online,96
552,59,2024,US,Retail,58
553,62,2003,US,Online,63
554,24,2020,LATAM,Retail,59
555,35,2005,EU,Online,30
556,92,1998,LATAM,Online,4
557,31,2013,US,Online,62
558,4,1953,APAC,Retail,136
559,3,1984,EU,Retail,72
560,45,2018,EU,Online,33
561,77,1974,APAC,Online,13
562,29,2016,EU,Online,62
563,47,1962,EU,Retail,48
564,55,1969,APAC,Retail,49
565,19,2015,APAC,Online,71
566,92,2001,APAC,Online,23
567,11,2010,APAC,Retail,76
568,42,2019,US,Retail,22
569,5,2006,APAC,Retail,161
570,37,1993,APAC,Retail,57
571,49,2022,APAC,Retail,40
572,16,2016,EU,Retail,92
573,72,2011,APAC,Online,18
574,6,2009,US,Retail,84
575,7,1977,US,Retail,113
576,28,2015,APAC,Retail,67
577,4,1991,APAC,Online,99
578,28,2020,EU,Retail,65
579,33,2020,EU,Online,40
580,38,2021,APAC,Online,46
581,9,1999,LATAM,Retail,123
582,5,2008,UK,Online,101
583,64,2003,LATAM,Online,111
584,18,2009,EU,Online,66
585,81,1992,UK,Retail,28
586,88,2003,EU,Retail,42
587,48,1986,EU,Retail,28
588,42,2001,EU,Online,22
589,57,2015,EU,Retail,22
590,9,1982,UK,Online,91
591,89,2015,LATAM,Retail,15
592,44,1954,UK,Retail,26
593,31,2016,UK,Online,58
594,83,2015,US,Online,23
595,90,2011,EU,Retail,23
596,92,2021,LATAM,Retail,56
597,71,2016,EU,Online,15
598,8,1993,UK,Retail,81
599,90,2024,US,Retail,17
600,3,1960,US,Online,112
601,51,1996,EU,Retail,30
602,49,2003,LATAM,Online,59
603,89,2012,US,Online,23
604,79,1962,UK,Retail,31
605,4,1981,LATAM,Retail,92
606,34,2016,EU,Retail,30
607,23,2016,UK,Online,67
608,4,2017,UK,Retail,129
609,97,2017,LATAM,Online,56
610,9,2015,UK,Online,101
611,26,2023,UK,Retail,41
612,24,2010,APAC,Online,46
613,30,2019,EU,Retail,27
614,45,2021,APAC,Online,41
615,33,2023,LATAM,Online,31
616,91,1959,EU,Online,27
617,38,2015,LATAM,Retail,23
618,43,2023,APAC,Retail,36
619,41,2022,UK,Online,81
620,22,2018,APAC,Retail,68
621,78,1999,UK,Online,39
622,73,2011,APAC,Online,30
623,41,2020,UK,Online,82
624,75,2020,UK,Retail,28
625,65,2013,UK,Online,48
626,79,1976,US,Online,28
627,54,1967,APAC,Online,32
628,88,2022,UK,Online,87
629,82,1985,APAC,Retail,50
630,65,2020,UK,Retail,106
631,4,1952,UK,Online,145
632,46,2014,US,Online,29
633,51,1989,LATAM,Online,24
634,83,2023,EU,Retail,17
635,96,2014,UK,Retail,20
636,25,2010,LATAM,Online,47
637,70,1996,UK,Online,25
638,30,2010,US,Retail,52
639,14,2016,US,Retail,121
640,33,2016,LATAM,Retail,29
641,6,1976,EU,Online,92
642,20,2015,LATAM,Retail,38
643,3,2000,EU,Online,122
644,8,2015,UK,Retail,97
645,13,2000,UK,Online,95
646,44,1954,EU,Online,53
647,55,1959,APAC,Retail,50
648,83,2024,EU,Retail,29
649,23,2008,UK,Retail,92
650,57,2021,LATAM,Online,26
651,77,1963,LATAM,Online,9
652,14,2011,US,Retail,113
653,79,2008,APAC,Retail,21
654,43,2014,UK,Online,84
655,57,1975,APAC,Online,27
656,47,1980,US,Retail,37
657,35,2013,LATAM,Retail,67
658,89,1987,APAC,Online,14
659,51,1992,LATAM,Retail,47
660,59,2017,UK,Online,72
661,33,2013,EU,Retail,51
662,24,2024,LATAM,Retail,50
663,30,2008,APAC,Retail,91
664,68,2011,US,Retail,36
665,20,2011,UK,Online,52
666,1,1980,US,Online,66
667,86,1970,EU,Online,13
668,24,2016,APAC,Retail,64
669,73,2023,LATAM,Retail,34
670,60,2012,APAC,Online,14
671,61,1982,APAC,Retail,14
672,25,2009,UK,Online,51
673,62,1970,APAC,Online,110
674,91,1988,EU,Online,49
675,85,2016,LATAM,Online,29
676,55,1951,LATAM,Retail,3
677,15,2001,EU,Online,104
678,50,1983,US,Retail,26
679,84,1980,UK,Retail,42
680,26,2021,EU,Online,57
681,81,2009,APAC,Retail,35
682,52,2002,UK,Online,43
683,74,2001,LATAM,Online,12
684,23,2019,UK,Online,45
685,31,2000,EU,Retail,60
686,24,2012,APAC,Retail,54
687,8,2001,UK,Retail,120
688,55,1968,UK,Online,46
689,17,2019,LATAM,Online,62
690,33,2011,APAC,Retail,42
691,22,1970,US,Online,54
692,4,2010,LATAM,Online,118
693,72,1988,UK,Retail,23
694,71,2024,APAC,Retail,40
695,63,1966,LATAM,Retail,70
696,69,2019,EU,Online,31
697,92,2000,US,Retail,46
698,93,2019,US,Online,24
699,96,2021,EU,Online,23
700,33,2011,LATAM,Online,40
701,58,1971,LATAM,Retail,58
702,34,2020,EU,Retail,55
703,70,2006,APAC,Online,10
704,54,2012,UK,Online,34
705,89,2015,LATAM,Retail,18
706,10,2007,US,Retail,69
707,40,2013,APAC,Retail,29
708,91,2014,UK,Retail,32
709,28,2020,EU,Online,102
710,74,2008,APAC,Retail,25
711,50,2015,LATAM,Online,55
712,15,2011,LATAM,Online,113
713,23,2020,LATAM,Online,48
714,69,2022,LATAM,Online,33
715,82,2017,EU,Retail,26
716,22,2018,LATAM,Online,46
717,25,2014,US,Retail,91
718,51,2011,EU,Retail,40
719,14,2002,LATAM,Online,96
720,75,2020,EU,Online,24
721,85,1968,UK,Retail,24
722,45,2019,LATAM,Online,34
723,91,2017,LATAM,Retail,44
724,93,2012,EU,Online,24
725,3,2019,US,Retail,86
726,23,2024,US,Online,85
727,41,2021,UK,Online,90
728,52,2020,UK,Online,27
729,62,1974,LATAM,Retail,75
730,86,1987,US,Online,11
731,12,1998,US,Online,135
732,91,1990,APAC,Online,26
733,16,2018,APAC,Retail,122
734,51,1995,US,Retail,53
735,70,2011,EU,Retail,14
736,32,1999,US,Retail,60
737,67,2022,LATAM,Online,54
738,43,2008,APAC,Retail,51
739,10,1982,EU,Online,116
740,83,2015,UK,Retail,16
741,18,2013,LATAM,Retail,169
742,30,2013,US,Retail,69
743,13,2024,UK,Online,44
744,81,2014,EU,Retail,58
745,69,2015,APAC,Retail,23
746,36,1997,EU,Online,50
747,87,1998,LATAM,Retail,59
748,6,1980,UK,Retail,154
749,77,1970,APAC,Retail,22
750,24,2011,LATAM,Online,81
751,82,1988,US,Online,43
752,73,2009,UK,Online,59
753,36,2018,UK,Retail,44
754,46,2010,UK,Online,49
755,56,2015,LATAM,Retail,63
756,4,1961,EU,Online,140
757,16,2018,EU,Retail,117
758,89,1994,EU,Online,22
759,93,2019,US,Online,19
760,50,1986,EU,Retail,30
761,48,2004,LATAM,Retail,52
762,84,2024,US,Online,60
763,96,2003,APAC,Online,15
764,53,2022,APAC,Online,70
765,80,1969,EU,Retail,37
766,60,1957,APAC,Retail,47
767,87,2009,APAC,Online,79
768,40,2015,APAC,Online,33
769,41,2002,US,Retail,77
770,13,2008,US,Retail,137
771,69,2023,LATAM,Online,28
772,24,2022,US,Online,59
773,87,1998,LATAM,Online,72
774,66,1982,APAC,Retail,35
775,66,2023,LATAM,Online,32
776,31,1996,UK,Retail,71
777,49,2023,UK,Online,37
778,21,1990,UK,Online,51
779,88,2002,UK,Retail,42
780,18,2021,US,Online,102
781,53,1960,EU,Online,40
782,32,2022,LATAM,Retail,71
783,41,2004,LATAM,Retail,34
784,27,2017,LATAM,Retail,21
785,68,2022,US,Retail,16
786,12,2022,APAC,Retail,80
787,99,2016,APAC,Retail,31
788,83,2020,APAC,Retail,12
789,45,2018,LATAM,Retail,40
790,70,2009,UK,Online,30
791,4,2014,EU,Online,150
792,4,1975,LATAM,Online,51
793,90,2021,UK,Retail,31
794,75,2019,LATAM,Retail,21
795,44,1988,UK,Online,54
796,21,1975,EU,Retail,47
797,45,2018,UK,Online,38
798,43,1955,EU,Retail,57
799,73,2016,LATAM,Retail,52
800,48,2015,LATAM,Retail,37
801,37,2016,US,Online,63
802,60,2003,US,Retail,12
803,76,2019,EU,Retail,25
804,42,2000,UK,Online,12
805,92,1996,UK,Online,44
806,18,2015,UK,Retail,165
807,83,2023,EU,Retail,11
808,30,2004,US,Online,63
809,34,2010,APAC,Retail,30
810,71,2017,US,Retail,30
811,6,1958,LATAM,Online,55
812,34,2016,APAC,Online,37
813,11,2004,LATAM,Online,99
814,86,1976,EU,Online,22
815,28,2018,APAC,Online,96
816,63,2015,UK,Online,84
817,51,1995,APAC,Online,23
818,17,2021,UK,Retail,134
819,41,2002,LATAM,Retail,57
820,85,2005,APAC,Online,24
821,90,1997,US,Online,14
822,71,2016,UK,Online,24
823,73,2016,US,Online,54
824,30,2023,US,Online,74
825,69,2024,UK,Retail,35
826,72,2004,UK,Online,32
827,30,2004,EU,Retail,91
828,27,2021,EU,Retail,67
829,61,1985,APAC,Online,38
830,95,1971,US,Online,18
831,96,2001,UK,Online,12
832,46,2012,US,Online,28
833,23,2014,LATAM,Online,84
834,27,2014,US,Online,31
835,4,1950,UK,Online,73
836,96,1979,UK,Online,1
837,70,2019,EU,Online,29
838,71,2015,EU,Online,32
839,95,1951,US,Retail,17
840,25,2023,US,Retail,54
841,38,2024,APAC,Online,41
842,32,2016,EU,Online,45
843,48,1991,EU,Retail,47
844,78,1976,US,Retail,56
845,79,2005,US,Retail,40
846,62,1961,LATAM,Online,84
847,77,2016,LATAM,Online,10
848,100,2006,UK,Online,62
849,51,1996,US,Online,27
850,53,1974,UK,Online,40
851,64,2016,APAC,Online,130
852,73,2020,US,Retail,28
853,68,2012,US,Online,33
854,73,2016,US,Online,34
855,57,1954,APAC,Online,53
856,32,1980,EU,Online,83
857,29,2015,UK,Online,54
858,40,2017,UK,Retail,33
859,64,2013,US,Online,109
860,10,2017,UK,Retail,52
861,20,2003,LATAM,Online,78
862,28,2019,APAC,Online,59
863,39,2000,LATAM,Online,46
864,77,1974,EU,Online,13
865,68,2012,LATAM,Online,20
866,11,2008,US,Retail,103
867,70,2014,UK,Retail,24
868,45,2018,EU,Retail,46
869,43,2005,US,Online,50
870,60,2001,EU,Online,18
871,28,2023,LATAM,Online,88
872,53,1967,US,Retail,40
873,89,1954,UK,Online,20
874,8,1989,EU,Online,59
875,39,2010,LATAM,Retail,49
876,42,2017,APAC,Retail,22
877,42,2017,EU,Retail,26
